Designator,Mid X,Mid Y,Rotation,Layer
C1,114.8,-95.05,90.0,top
C2,110.9,-94.6,0.0,top
C3,112.8,-94.6,0.0,top
C4,114.3,-113.0,0.0,top
C5,114.3,-100.8,0.0,top
C6,111.0,-114.8,180.0,top
C7,132.125,-105.675,270.0,top
C8,131.2,-88.9,180.0,top
D1,127.5,-99.175,0.0,top
D2,127.5,-100.825,0.0,top
J4,150.5,-109.0,270.0,top
R1,130.525,-99.175,0.0,top
R2,110.95,-96.775,180.0,top
R3,130.525,-100.825,0.0,top
R4,114.4,-114.8,180.0,top
R5,106.65,-98.35,0.0,top
R6,106.65,-99.35,0.0,top
R7,144.3,-109.99,90.0,top
R8,144.3,-108.09,90.0,top
TP1,140.94,-97.4,90.0,bottom
TP2,143.54,-97.4,90.0,bottom
U2,111.85,-92.3,90.0,top
U3,142.54,-91.8,90.0,top
